rank,name,small_img_url_works,big_img_url_might work
"
91
","
Polo G
",https://www.billboard.com/assets/1593103446/images/charts/bb-placeholder-new.jpg?21079ba112379073a8da,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
92
","
Sheck Wes
",https://charts-static.billboard.com/img/2018/09/sheck-wes-fiq-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
93
","
Migos
",https://charts-static.billboard.com/img/2014/09/migos-apk-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
94
","
Lil Uzi Vert
",https://charts-static.billboard.com/img/2016/07/lil-uzi-vert-mre-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
95
","
Nipsey Hussle
",https://charts-static.billboard.com/img/2018/03/nipsey-husle-hlh-artist-chart-h8h-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
96
","
Fleetwood Mac
",https://charts-static.billboard.com/img/2017/05/fleetwood-mac-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
97
","
The Weeknd
",https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
98
","
Eric Church
",https://charts-static.billboard.com/img/2017/04/eric-church-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
99
","
benny blanco
",https://charts-static.billboard.com/img/2007/11/benny-blanco-new-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
100
","
Luke Bryan
",https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
